id,release_date,movie,production_budget,domestic_gross,worldwide_gross,,,,,,,,
1,18-Dec-09,Avatar,"$425,000,000 ","$760,507,625 ","$2,776,345,279 ",,Avatar,,,,,#VALUE!,0
2,20-May-11,Pirates of the Caribbean: On Stranger Tides,"$410,600,000 ","$241,063,875 ","$1,045,663,875 ",,Pirates of the Caribbean: On Stranger Tides,,,,,#VALUE!,0
3,7-Jun-19,Dark Phoenix,"$350,000,000 ","$42,762,350 ","$149,762,350 ",,Dark Phoenix,,,,,#VALUE!,0
4,1-May-15,Avengers: Age of Ultron,"$330,600,000 ","$459,005,868 ","$1,403,013,963 ",,Avengers: Age of Ultron,,,,,#VALUE!,0
5,15-Dec-17,Star Wars Ep. VIII: The Last Jedi,"$317,000,000 ","$620,181,382 ","$1,316,721,747 ",,Star Wars Ep. VIII: The Last Jedi,,,,,#VALUE!,0
6,18-Dec-15,Star Wars Ep. VII: The Force Awakens,"$306,000,000 ","$936,662,225 ","$2,053,311,220 ",,Star Wars Ep. VII: The Force Awakens,,,,,#VALUE!,0
7,27-Apr-18,Avengers: Infinity War,"$300,000,000 ","$678,815,482 ","$2,048,134,200 ",,Avengers: Infinity War,,,,,#VALUE!,0
8,24-May-07,Pirates of the Caribbean: At World's End,"$300,000,000 ","$309,420,425 ","$963,420,425 ",,Pirates of the Caribbean: At World's End,,,,,#VALUE!,0
9,17-Nov-17,Justice League,"$300,000,000 ","$229,024,295 ","$655,945,209 ",,Justice League,,,,,#VALUE!,0
10,6-Nov-15,Spectre,"$300,000,000 ","$200,074,175 ","$879,620,923 ",,Spectre,,,,,#VALUE!,0
11,20-Jul-12,The Dark Knight Rises,"$275,000,000 ","$448,139,099 ","$1,084,439,099 ",,The Dark Knight Rises,,,,,#VALUE!,0
12,25-May-18,Solo: A Star Wars Story,"$275,000,000 ","$213,767,512 ","$393,151,347 ",,Solo: A Star Wars Story,,,,,#VALUE!,0
13,2-Jul-13,The Lone Ranger,"$275,000,000 ","$89,302,115 ","$260,002,115 ",,The Lone Ranger,,,,,#VALUE!,0
14,9-Mar-12,John Carter,"$275,000,000 ","$73,058,679 ","$282,778,100 ",,John Carter,,,,,#VALUE!,0
15,24-Nov-10,Tangled,"$260,000,000 ","$200,821,936 ","$586,477,240 ",,Tangled,,,,,#VALUE!,0
16,4-May-07,Spider-Man 3,"$258,000,000 ","$336,530,303 ","$894,860,230 ",,Spider-Man 3,,,,,#VALUE!,0
17,6-May-16,Captain America: Civil War,"$250,000,000 ","$408,084,349 ","$1,140,069,413 ",,Captain America: Civil War,,,,,#VALUE!,0
18,25-Mar-16,Batman v Superman: Dawn of Justice,"$250,000,000 ","$330,360,194 ","$867,500,281 ",,Batman v Superman: Dawn of Justice,,,,,#VALUE!,0
19,14-Dec-12,The Hobbit: An Unexpected Journey,"$250,000,000 ","$303,003,568 ","$1,017,003,568 ",,The Hobbit: An Unexpected Journey,,,,,#VALUE!,0
20,15-Jul-09,Harry Potter and the Half-Blood Prince,"$250,000,000 ","$302,089,278 ","$935,213,767 ",,Harry Potter and the Half-Blood Prince,,,,,#VALUE!,0
21,13-Dec-13,The Hobbit: The Desolation of Smaug,"$250,000,000 ","$258,366,855 ","$960,366,855 ",,The Hobbit: The Desolation of Smaug,,,,,#VALUE!,0
22,17-Dec-14,The Hobbit: The Battle of the Five Armies,"$250,000,000 ","$255,119,788 ","$945,577,621 ",,The Hobbit: The Battle of the Five Armies,,,,,#VALUE!,0
23,14-Apr-17,The Fate of the Furious,"$250,000,000 ","$225,764,765 ","$1,234,846,267 ",,The Fate of the Furious,,,,,#VALUE!,0
24,28-Jun-06,Superman Returns,"$232,000,000 ","$200,120,000 ","$374,085,065 ",,Superman Returns,,,,,#VALUE!,0
25,26-May-17,Pirates of the Caribbean: Dead Men Tell No Tales,"$230,000,000 ","$172,558,876 ","$788,241,137 ",,Pirates of the Caribbean: Dead Men Tell No Tales,,,,,#VALUE!,0
26,14-Nov-08,Quantum of Solace,"$230,000,000 ","$169,368,427 ","$591,692,078 ",,Quantum of Solace,,,,,#VALUE!,0
27,4-May-12,The Avengers,"$225,000,000 ","$623,279,547 ","$1,517,935,897 ",,The Avengers,,,,,#VALUE!,0
28,7-Jul-06,Pirates of the Caribbean: Dead Man's Chest,"$225,000,000 ","$423,315,812 ","$1,066,215,812 ",,Pirates of the Caribbean: Dead Man's Chest,,,,,#VALUE!,0
29,14-Jun-13,Man of Steel,"$225,000,000 ","$291,045,518 ","$667,999,518 ",,Man of Steel,,,,,#VALUE!,0
30,16-May-08,The Chronicles of Narnia: Prince Caspian,"$225,000,000 ","$141,621,490 ","$417,341,288 ",,The Chronicles of Narnia: Prince Caspian,,,,,#VALUE!,0
31,3-Jul-12,The Amazing Spider-Man,"$220,000,000 ","$262,030,663 ","$757,890,267 ",,The Amazing Spider-Man,,,,,#VALUE!,0
32,18-May-12,Battleship,"$220,000,000 ","$65,233,400 ","$313,477,717 ",,Battleship,,,,,#VALUE!,0
33,21-Jun-17,Transformers: The Last Knight,"$217,000,000 ","$130,168,683 ","$602,893,340 ",,Transformers: The Last Knight,,,,,#VALUE!,0
34,12-Jun-15,Jurassic World,"$215,000,000 ","$652,270,625 ","$1,648,854,864 ",,Jurassic World,,,,,#VALUE!,0
35,25-May-12,Men in Black 3,"$215,000,000 ","$179,020,854 ","$654,213,485 ",,Men in Black 3,,,,,#VALUE!,0
36,24-Jun-09,Transformers: Revenge of the Fallen,"$210,000,000 ","$402,111,870 ","$836,519,699 ",,Transformers: Revenge of the Fallen,,,,,#VALUE!,0
